#{"t_start": 1682788938.2399797, "env_id": "StepManiaEnv-v1"}
r,l,t
1564,775,108.906559
5925,908,247.241985
256564,1030,385.510537
40120,994,523.898953
730564,918,662.280725
48255,947,802.366835
665610,848,921.251775
571564,801,1040.187279
48795,788,1159.055809
63564,792,1277.958227
115564,893,1408.941922
350,844,1539.808388
380,872,1670.662084
492564,919,1801.599288
365,878,1932.415713
41860,914,2063.317466
89984,881,2194.236566
42050,844,2312.222037
295615,1083,2460.357877
14340,893,2595.974938
564,734,2705.711466
1564,1219,2871.445005
